Date,Brexit,ln_brexit
2019-11-15,7183,8.8794724020748
2019-11-16,5919,8.68592279469073
2019-11-17,8276,9.02111503886543
2019-11-18,8480,9.04546572878595
2019-11-19,8768,9.0788640091878
2019-11-20,8678,9.0685463663583
2019-11-21,7530,8.92665032079394
2019-11-22,6799,8.82453082152646
2019-11-23,5850,8.6741969402259
2019-11-24,6653,8.80282315974189
2019-11-25,7724,8.9520876435484
2019-11-26,7544,8.92850782431329
2019-11-27,7010,8.85509298002864
2019-11-28,7031,8.85808422219916
2019-11-29,6431,8.76888532613486
2019-11-30,5561,8.62353322718756
2019-12-01,6068,8.71078434046842
2019-12-02,7567,8.93155196669452
2019-12-03,7504,8.92319149068606
2019-12-04,7484,8.92052268739398
2019-12-05,7530,8.92665032079394
2019-12-06,6822,8.82790796297859
2019-12-07,5748,8.65660724719892
2019-12-08,7138,8.87318790405011
2019-12-09,8385,9.03419967425731
2019-12-10,8655,9.06589246761031
2019-12-11,10109,9.22118139515406
2019-12-12,21155,9.95963156315417
2019-12-13,62783,11.0474396151733
2019-12-14,27699,10.2291515904407
2019-12-15,19067,9.85571437106444
2019-12-16,15865,9.6718707040173
2019-12-17,13875,9.53784393861464
2019-12-18,11116,9.3161407908624
2019-12-19,9907,9.20099685697303
2019-12-20,13305,9.49589518341179
2019-12-21,9815,9.19166710671056
2019-12-22,7340,8.90109412160856
2019-12-23,7201,8.88197518424887
2019-12-24,6254,8.74097653801779
2019-12-25,5844,8.67317077287059
2019-12-26,6765,8.81951754060489
2019-12-27,6256,8.74129628222515
2019-12-28,5892,8.68135077758252
2019-12-29,6330,8.75305551513822
2019-12-30,6717,8.81239690526686
2019-12-31,6527,8.78370269863522
2020-01-01,7000,8.85366542803745
2020-01-02,8032,8.99118884193151
2020-01-03,7271,8.89164911265006
2020-01-04,6890,8.8378263640077
2020-01-05,7079,8.86488793377419
2020-01-06,8243,9.01711963431323
2020-01-07,7910,8.9758830607617
2020-01-08,8721,9.07348918922699
2020-01-09,12203,9.40943710213184
2020-01-10,11348,9.33679679592874
2020-01-11,7657,8.94337554111312
2020-01-12,7929,8.9782822032724
2020-01-13,9146,9.121071904218
2020-01-14,9696,9.1794687083091
2020-01-15,9697,9.17957183830455
2020-01-16,9341,9.14216859187285
2020-01-17,8781,9.08034557536
2020-01-18,8565,9.05543941075822
2020-01-19,8300,9.02401079378469
2020-01-20,9709,9.18080856937014
2020-01-21,9703,9.1801903950253
2020-01-22,9533,9.16251474249358
